2009-04-20 03:01:44 status unpacked libncurses5 5.7+20090207-1ubuntu1
2009-04-20 03:01:44 install libpam-modules <none> 1.0.1-9ubuntu1
2009-04-20 03:01:44 status half-installed libpam-modules 1.0.1-9ubuntu1
2009-04-20 03:01:47 status unpacked libpam-modules 1.0.1-9ubuntu1
2009-04-20 03:01:47 status unpacked libpam-modules 1.0.1-9ubuntu1
2009-04-20 03:01:47 install libpam-runtime <none> 1.0.1-9ubuntu1
2009-04-20 03:01:47 status half-installed libpam-runtime 1.0.1-9ubuntu1
2009-04-20 03:01:47 status unpacked libpam-runtime 1.0.1-9ubuntu1
2009-04-20 03:01:47 status unpacked libpam-runtime 1.0.1-9ubuntu1
2009-04-20 03:01:47 install libpam0g <none> 1.0.1-9ubuntu1
2009-04-20 03:01:47 status half-installed libpam0g 1.0.1-9ubuntu1
2009-04-20 03:01:47 status unpacked libpam0g 1.0.1-9ubuntu1
2009-04-20 03:01:47 status unpacked libpam0g 1.0.1-9ubuntu1
2009-04-20 03:01:48 install libpcre3 <none> 7.8-2ubuntu1
2009-04-20 03:01:48 status half-installed libpcre3 7.8-2ubuntu1
2009-04-20 03:01:48 status unpacked libpcre3 7.8-2ubuntu1
2009-04-20 03:01:48 status unpacked libpcre3 7.8-2ubuntu1
2009-04-20 03:01:48 install libselinux1 <none> 2.0.65-5build1
2009-04-20 03:01:48 status half-installed libselinux1 2.0.65-5build1
2009-04-20 03:01:48 status unpacked libselinux1 2.0.65-5build1
2009-04-20 03:01:48 status unpacked libselinux1 2.0.65-5build1
2009-04-20 03:01:48 install libsepol1 <none> 2.0.30-2ubuntu1
2009-04-20 03:01:48 status half-installed libsepol1 2.0.30-2ubuntu1
2009-04-20 03:01:48 status unpacked libsepol1 2.0.30-2ubuntu1
2009-04-20 03:01:48 status unpacked libsepol1 2.0.30-2ubuntu1
2009-04-20 03:01:48 install libslang2 <none> 2.1.3-3ubuntu3
2009-04-20 03:01:48 status half-installed libslang2 2.1.3-3ubuntu3
2009-04-20 03:01:49 status unpacked libslang2 2.1.3-3ubuntu3
2009-04-20 03:01:49 status unpacked libslang2 2.1.3-3ubuntu3
2009-04-20 03:01:49 install libss2 <none> 1.41.4-1ubuntu1
2009-04-20 03:01:49 status half-installed libss2 1.41.4-1ubuntu1
2009-04-20 03:01:49 status unpacked libss2 1.41.4-1ubuntu1
2009-04-20 03:01:49 status unpacked libss2 1.41.4-1ubuntu1
2009-04-20 03:01:49 install libstdc++6 <none> 4.3.3-5ubuntu4
2009-04-20 03:01:49 status half-installed libstdc++6 4.3.3-5ubuntu4
2009-04-20 03:01:49 status unpacked libstdc++6 4.3.3-5ubuntu4
2009-04-20 03:01:49 status unpacked libstdc++6 4.3.3-5ubuntu4
2009-04-20 03:01:49 install libtext-charwidth-perl <none> 0.04-5build1
2009-04-20 03:01:49 status half-installed libtext-charwidth-perl 0.04-5build1
2009-04-20 03:01:49 status unpacked libtext-charwidth-perl 0.04-5build1
2009-04-20 03:01:49 status unpacked libtext-charwidth-perl 0.04-5build1
2009-04-20 03:01:49 install libtext-iconv-perl <none> 1.7-1build1
2009-04-20 03:01:49 status half-installed libtext-iconv-perl 1.7-1build1
2009-04-20 03:01:50 status unpacked libtext-iconv-perl 1.7-1build1
2009-04-20 03:01:50 status unpacked libtext-iconv-perl 1.7-1build1
2009-04-20 03:01:50 install libtext-wrapi18n-perl <none> 0.06-6
2009-04-20 03:01:50 status half-installed libtext-wrapi18n-perl 0.06-6
2009-04-20 03:01:50 status unpacked libtext-wrapi18n-perl 0.06-6
2009-04-20 03:01:50 status unpacked libtext-wrapi18n-perl 0.06-6
2009-04-20 03:01:50 install libuuid1 <none> 1.41.4-1ubuntu1
2009-04-20 03:01:50 status half-installed libuuid1 1.41.4-1ubuntu1
2009-04-20 03:01:50 status unpacked libuuid1 1.41.4-1ubuntu1
2009-04-20 03:01:50 status unpacked libuuid1 1.41.4-1ubuntu1
2009-04-20 03:01:50 install libvolume-id1 <none> 141-1
2009-04-20 03:01:50 status half-installed libvolume-id1 141-1
2009-04-20 03:01:50 status unpacked libvolume-id1 141-1
2009-04-20 03:01:50 status unpacked libvolume-id1 141-1
2009-04-20 03:01:50 install locales <none> 2.9+cvs20090214-7
2009-04-20 03:01:50 status half-installed locales 2.9+cvs20090214-7
2009-04-20 03:01:53 status unpacked locales 2.9+cvs20090214-7
2009-04-20 03:01:53 status unpacked locales 2.9+cvs20090214-7
2009-04-20 03:01:53 install login <none> 1:4.1.1-6ubuntu6
2009-04-20 03:01:53 status half-installed login 1:4.1.1-6ubuntu6
2009-04-20 03:01:54 status unpacked login 1:4.1.1-6ubuntu6
2009-04-20 03:01:54 status unpacked login 1:4.1.1-6ubuntu6
2009-04-20 03:01:54 install lsb-base <none> 3.2-20ubuntu4
2009-04-20 03:01:54 status half-installed lsb-base 3.2-20ubuntu4
2009-04-20 03:01:54 status unpacked lsb-base 3.2-20ubuntu4
2009-04-20 03:01:54 status unpacked lsb-base 3.2-20ubuntu4
2009-04-20 03:01:54 install lzma <none> 4.43-14ubuntu1
2009-04-20 03:01:54 status half-installed lzma 4.43-14ubuntu1
2009-04-20 03:01:54 status unpacked lzma 4.43-14ubuntu1
2009-04-20 03:01:54 status unpacked lzma 4.43-14ubuntu1
2009-04-20 03:01:54 install makedev <none> 2.3.1-88
2009-04-20 03:01:54 status half-installed makedev 2.3.1-88
2009-04-20 03:01:55 status unpacked makedev 2.3.1-88
2009-04-20 03:01:55 status unpacked makedev 2.3.1-88
2009-04-20 03:01:55 upgrade mawk 1.3.3-13ubuntu1 1.3.3-13ubuntu1
2009-04-20 03:01:55 status half-configured mawk 1.3.3-13ubuntu1
2009-04-20 03:01:55 status unpacked mawk 1.3.3-13ubuntu1
2009-04-20 03:01:55 status half-installed mawk 1.3.3-13ubuntu1
2009-04-20 03:01:55 status half-installed mawk 1.3.3-13ubuntu1
2009-04-20 03:01:55 status unpacked mawk 1.3.3-13ubuntu1
2009-04-20 03:01:55 status unpacked mawk 1.3.3-13ubuntu1
2009-04-20 03:01:55 install mktemp <none> 1.5-9
2009-04-20 03:01:55 status half-installed mktemp 1.5-9
2009-04-20 03:01:55 status unpacked mktemp 1.5-9
2009-04-20 03:01:55 status unpacked mktemp 1.5-9
2009-04-20 03:01:55 install mount <none> 2.14.2-1ubuntu4
2009-04-20 03:01:55 status half-installed mount 2.14.2-1ubuntu4
2009-04-20 03:01:56 status unpacked mount 2.14.2-1ubuntu4
2009-04-20 03:01:56 status unpacked mount 2.14.2-1ubuntu4
2009-04-20 03:01:56 install ncurses-base <none> 5.7+20090207-1ubuntu1
2009-04-20 03:01:56 status half-installed ncurses-base 5.7+20090207-1ubuntu1
2009-04-20 03:01:56 status unpacked ncurses-base 5.7+20090207-1ubuntu1
2009-04-20 03:01:56 status unpacked ncurses-base 5.7+20090207-1ubuntu1
2009-04-20 03:01:56 install ncurses-bin <none> 5.7+20090207-1ubuntu1
2009-04-20 03:01:56 status half-installed ncurses-bin 5.7+20090207-1ubuntu1
2009-04-20 03:01:57 status unpacked ncurses-bin 5.7+20090207-1ubuntu1
2009-04-20 03:01:57 status unpacked ncurses-bin 5.7+20090207-1ubuntu1
2009-04-20 03:01:57 install passwd <none> 1:4.1.1-6ubuntu6
2009-04-20 03:01:57 status half-installed passwd 1:4.1.1-6ubuntu6
2009-04-20 03:01:58 status unpacked passwd 1:4.1.1-6ubuntu6
2009-04-20 03:01:58 status unpacked passwd 1:4.1.1-6ubuntu6
2009-04-20 03:01:58 upgrade perl-base 5.10.0-19ubuntu1 5.10.0-19ubuntu1
2009-04-20 03:01:58 status half-configured perl-base 5.10.0-19ubuntu1
2009-04-20 03:01:58 status unpacked perl-base 5.10.0-19ubuntu1
2009-04-20 03:01:58 status half-installed perl-base 5.10.0-19ubuntu1
2009-04-20 03:02:00 status half-installed perl-base 5.10.0-19ubuntu1
2009-04-20 03:02:00 status unpacked perl-base 5.10.0-19ubuntu1
2009-04-20 03:02:00 status unpacked perl-base 5.10.0-19ubuntu1
2009-04-20 03:02:00 install procps <none> 1:3.2.7-11ubuntu2
2009-04-20 03:02:00 status half-installed procps 1:3.2.7-11ubuntu2
2009-04-20 03:02:01 status unpacked procps 1:3.2.7-11ubuntu2
2009-04-20 03:02:01 status unpacked procps 1:3.2.7-11ubuntu2
2009-04-20 03:02:01 install python-minimal <none> 2.6.1-0ubuntu9
2009-04-20 03:02:01 status half-installed python-minimal 2.6.1-0ubuntu9
2009-04-20 03:02:01 status unpacked python-minimal 2.6.1-0ubuntu9
2009-04-20 03:02:01 status unpacked python-minimal 2.6.1-0ubuntu9
2009-04-20 03:02:01 install python2.6-minimal <none> 2.6.2-0ubuntu1
2009-04-20 03:02:01 status half-installed python2.6-minimal 2.6.2-0ubuntu1
2009-04-20 03:02:02 status unpacked python2.6-minimal 2.6.2-0ubuntu1
2009-04-20 03:02:02 status unpacked python2.6-minimal 2.6.2-0ubuntu1
2009-04-20 03:02:03 install sed <none> 4.1.5-8
2009-04-20 03:02:03 status half-installed sed 4.1.5-8
2009-04-20 03:02:03 status unpacked sed 4.1.5-8
2009-04-20 03:02:03 status unpacked sed 4.1.5-8
2009-04-20 03:02:03 install startup-tasks <none> 0.3.9-8
2009-04-20 03:02:03 status half-installed startup-tasks 0.3.9-8
2009-04-20 03:02:04 status unpacked startup-tasks 0.3.9-8
2009-04-20 03:02:04 status unpacked startup-tasks 0.3.9-8
2009-04-20 03:02:04 install system-services <none> 0.3.9-8
2009-04-20 03:02:04 status half-installed system-services 0.3.9-8
2009-04-20 03:02:04 status unpacked system-services 0.3.9-8
2009-04-20 03:02:04 status unpacked system-services 0.3.9-8
2009-04-20 03:02:04 install sysv-rc <none> 2.86.ds1-61ubuntu11
